Questions,ans1,ans2,class
Differentiate supervised and unsupervised deep learning procedures.,Supervised learning is where you have input variables and an output variable and you use an algorithm to learn the mapping function from the input to the output.Unsupervised learning is modeling the underlying or hidden structure or distribution in the data in order to learn more about the data,"This is a type of gradient descent which processes all the training example, the weights are updated incrementally after each iteration over the training dataset.",0
Explain the following variant of Gradient Descent batch?,"Supervised learning is where you have input variables and an output variable and you use an algorithm to learn the mapping function from the input to the output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model. Instead, you need to allow the model to work on its own to discover information. It mainly deals with the unlabelled data.","Using the Gradient Decent optimization algorithm, the weights are updated incrementally on each iteration.",0
Differentiate supervised and unsupervised deep learning procedures.,"supervised learning is where I have the input data and the corresponding output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model.","supervised learning is where I have the input data and the corresponding output. Unsupervised procedure does not need labeling information explicitly, and the operations can be carried out without the same.",1
Differentiate supervised and unsupervised deep learning procedures.,"supervised learning is where I have the input data and the corresponding output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model.",Element-wise matrix multiplication is used to take two matrices of the same dimensions. It further produces another combined matrix with the elements that are a product of corresponding elements of matrix a and b.,0
What is matrix element-wise multiplication?,"supervised learning is where I have the input data and the corresponding output. Unsupervised procedure does not need labeling information explicitly, and the operations can be carried out without the same.",multiplies arrays A and B of same dimension to produce a new matrix.,0
Differentiate supervised and unsupervised deep learning procedures.,"supervised learning is where I have the input data and the corresponding output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model.","Supervised learning is where you have input variables and an output variable and you use an algorithm to learn the mapping function from the input to the output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model. Instead, you need to allow the model to work on its own to discover information. It mainly deals with the unlabelled data.",1
Differentiate supervised and unsupervised deep learning procedures.,"supervised learning is where I have the input data and the corresponding output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model.",sigmoid function have been used as the activation function of artificial neurons. Sigmoid functions most often show a return value (y axis) in the range 0 to 1,0
What is the sigmoid function?,"Supervised learning is where you have input variables and an output variable and you use an algorithm to learn the mapping function from the input to the output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model. Instead, you need to allow the model to work on its own to discover information. It mainly deals with the unlabelled data.",activation function apply thresholding to input data and produce output between 0 and 1.,0
Differentiate supervised and unsupervised deep learning procedures.,"supervised learning is where I have the input data and the corresponding output. Unsupervised procedure does not need labeling information explicitly, and the operations can be carried out without the same.","Supervised learning is where you have input variables and an output variable and you use an algorithm to learn the mapping function from the input to the output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model. Instead, you need to allow the model to work on its own to discover information. It mainly deals with the unlabelled data.",1
Differentiate supervised and unsupervised deep learning procedures.,"supervised learning is where I have the input data and the corresponding output. Unsupervised procedure does not need labeling information explicitly, and the operations can be carried out without the same.","Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, which has always been considered a human prerogative.Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed. In ML, there are different algorithms (e.g. neural networks) that help to solve problems.Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.",0
"What are the main differences between AI, Machine Learning, and Deep Learning?","Supervised learning is where you have input variables and an output variable and you use an algorithm to learn the mapping function from the input to the output. Unsupervised learning is a machine learning technique, where you do not need to supervise the model. Instead, you need to allow the model to work on its own to discover information. It mainly deals with the unlabelled data.","AI means getting a computer to mimic human behavior in some way.Machine learning is a subset of AI, and it consists of the techniques that enable computers to figure things out from the data and deliver AI applications.Deep learning, meanwhile, is a subset of machine learning that enables computers to solve more complex problems",0
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.","A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.",1
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.",Batch Gradient Descent is when we sum up over all examples on each iteration when performing the updates to the parameters.,0
Explain the following variant of Gradient Descent batch?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.","This is a type of gradient descent which processes all the training example, the weights are updated incrementally after each iteration over the training dataset.",0
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.","deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",1
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.",This layer decodes the encoded image back to the original dimension. The decoded image is a lossy reconstruction of the original image and it is reconstructed from the latent space representation.,0
What is the use of decoder layers in Autoencoders?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",Decoder is also a feedforward network like the encoder and has a similar structure to the encoder. The decoded image is a lossy reconstruction of the original image and it is reconstructed from the latent space representation.,0
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.",Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,1
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.","Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, which has always been considered a human prerogative.Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed. In ML, there are different algorithms (e.g. neural networks) that help to solve problems.Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.",0
"What are the main differences between AI, Machine Learning, and Deep Learning?",Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,"Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, .Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences, Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.",0
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.",deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,1
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.","Autoencoder is an unsupervised artificial neural network that learns how to efficiently compress and encode data, and then uncompress that code into whatever format best matches the original input.",0
What do you understand by Autoencoder?,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,"Autoencoders are neural networks. Neural networks are composed of multiple layers, compress and encode data then learns how to reconstruct the data back from the reduced encoded",0
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.","A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.",1
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.",Overfitting a model is a condition where a statistical model begins to describe the random error in the data rather than the relationships between variables.,0
"What do you mean by ""overfitting""?","A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.",occurs when a function corresponds too closely to a particular set of the training data to the extent that it negatively impacts the performance of the model on new data.,0
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.",deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,1
Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.",Backpropagation is a training algorithm which is used for multilayer neural networks. It transfers the error information from the end of the network to all the weights inside the network. It allows the efficient computation of the gradient.,0
What is Backpropagation?,deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,Backpropagation is a process used to adjust the weights of a deep neural network. The weights that minimize the error,0
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.","deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",1
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.","Performing convolutions efficiently as products in the Fourier domain. An example would be training large convolutional neural nets. Like sparse signal processing,",0
What is the function of the Fourier Transform in Deep Learning?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,","data can be considered a signal, and making convolution easier.",0
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.",Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,1
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.","It is an artificial RNN (Recurrent Neural Network) architecture, which is used in the field of deep learning. LSTM has feedback connections which makes it a ""general purpose computer."" It can process not only a single data point but also entire sequences of data.",0
Explain the importance of LSTM.,Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,LSTMs have property of selectively remembering patterns for long durations of time.,0
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.",deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,1
What is the function of the Fourier Transform in Deep Learning?,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,Performing convolutions efficiently as products in the Fourier domain. When each sample in the dataset is a signal,0
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.","A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.",1
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.","Autoencoder networks teach themselves how to compress data from the input layer into a shorter code, and then uncompress that code into whatever format best matches the original input.",0
What do you understand by Autoencoder?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.","Autoencoder is an unsupervised artificial neural network that learns how to efficiently compress and encode data, and then uncompress that code into whatever format best matches the original input.",0
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.",deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,1
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. That causes the number of parameters to increase a lot.There are quite conclusive results that a deep network can fit functions better with less parameters than a shallow network.","the goal of normalization is to change the values of numeric columns in the dataset to a common scale, without distorting differences in the ranges of values.",0
Explain Data Normalization.,deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,an approach which is applied during the preparation of data allowing the network to more quickly learn the optimal parameters for each input node.,0
Do you think that deep network is better than a shallow one?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,1
Do you think that deep network is better than a shallow one?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",Hidden Layers: Layers of nodes between the input and output layers. There may be one or more of these layers.,0
what do you know about hidden layer?,Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,"Hidden Layers: Layers of nodes between the input and output layers, after the input layer and before the ouput layer.",0
Do you think that deep network is better than a shallow one?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,1
Do you think that deep network is better than a shallow one?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,","A recurrent neural network (RNN) is a class of artificial neural networks where connections between nodes, It is the first algorithm that remembers its input.",0
What is an RNN?,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,"RNN) are the state of the art algorithm for sequential data, and use patterns to predict the next likely scenario.",0
Do you think that deep network is better than a shallow one?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,","A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.",1
Do you think that deep network is better than a shallow one?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",The encoder is used to compress the input into a latent space representation. It encodes the input images as a compressed representation in a reduced dimension. The compressed images are the distorted version of the original image.,0
What is the use of encoder layers in Autoencoders?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.","This is the part of the network that compresses the input into a latent-space representation, and encodes the input image as a compressed representation in a reduced dimension.",0
Do you think that deep network is better than a shallow one?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,1
Do you think that deep network is better than a shallow one?,"deep network you have lots and lots of computational nodes and lots of layers of those nodes. A shallower network means that there are fewer computations so it is less math going on,",The input layer contains input neurons which send information to the hidden layer.,0
what do you know about input layer?,deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,"Input Layer: Input variables, contains your raw data.",0
Do you think that deep network is better than a shallow one?,Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,1
Do you think that deep network is better than a shallow one?,Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,Perceptron is a machine learning algorithm that helps provide classified outcomes for computing,0
What do you understand by Perceptron?,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,A Perceptron is an algorithm used for supervised learning of binary classifiers. helps provide classified outcomes for computing.,0
Do you think that deep network is better than a shallow one?,Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.",1
Do you think that deep network is better than a shallow one?,Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,"Swish is a smooth, non-monotonic function that consistently matches or outperforms ReLU on deep networks applied to a variety of challenging domains such as Image classification and Machine translation.",0
What is a Swish function?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.","Swish is a smooth, non-monotonic function that consistently matches or outperforms ReLU, however it is differentiable at all points and is non-monotonic, that's why it gives better performance.",0
Do you think that deep network is better than a shallow one?,Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,1
Do you think that deep network is better than a shallow one?,Shallow means that number of hidden layer = 1 . And in case of deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . So generally as we increase the depth of the model we increase the power of the model at the cost of the computational complexity .,Deep Autoencoder is the extension of the simple Autoencoder. The first layer present is responsible for first-order functions in the raw input. The second layer is responsible for second-order functions corresponding to patterns in the appearance of first-order functions.,0
What do you understand by Deep Autoencoders?,deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,"Autoencoder is a type of neural network where the output layer has the same dimensionality as the input layer. that typically have four or five shallow layers representing the encoding half of the net, and second set of four or five layers that make up the decoding half.",0
Do you think that deep network is better than a shallow one?,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.",1
Do you think that deep network is better than a shallow one?,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,0
What is deep learning?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.","Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",0
Do you think that deep network is better than a shallow one?,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,1
Do you think that deep network is better than a shallow one?,deep network we have more than equal to 2 hidden layers . The idea of having more layers is to extract more finer features of the input vector . A shallow network has less number of hidden layers.,The Leaky ReLU (LReLU or LReL) manages the function to allow small negative values when the input is less than zero.,0
What is the use of leaky ReLU function?,deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,the Leaky ReLU which attempts to resolve issues with traditional ReLU that are related to dying neural networks by allowing small values.,0
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.",deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,1
Do you think that deep network is better than a shallow one?,"A shallow network has less number of hidden layers. While there are studies that a shallow network can fit any function, it will need to be really fat. deep network you have lots and lots of computational nodes and lots of layers of those nodes.","will perform a downsampling operation along the spatial dimensions (width, height), resulting in volume such as [16x16x12]",0
Explain the layer of CNN: pooling,deep network you have lots and lots of computational nodes and lots of layers of those nodes. Shallow means that number of hidden layer = 1 .,"while pooling , the number of nodes are reduced.And for flatten as it is converted to a single dimension array.",0
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,Overfitting refers to a model that models the training data too well. Overfitting happens when a model learns the detail and noise in the training data to the extent that it negatively impacts the performance of the model on new data.,1
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,"Neurons in a completely connected layer have complete connections to all activations in the previous layer, as seen in regular Neural Networks. Their activations can be easily computed with a matrix multiplication followed by a bias offset.",0
Explain the layer of CNN: Full Collectedness,Overfitting refers to a model that models the training data too well. Overfitting happens when a model learns the detail and noise in the training data to the extent that it negatively impacts the performance of the model on new data.,"layer will compute the class scores, resulting in volume of size [1x1x10], where each of the 10 numbers correspond to a class score.",0
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,Overfitting a model is a condition where a statistical model begins to describe the random error in the data rather than the relationships between variables.,1
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,"The Softmax regression is a form of logistic regression that normalizes an input value into a vector of values that follows a probability distribution whose total sums up to 1. The output values are between the range [0,1]",0
What is the softmax function?,Overfitting a model is a condition where a statistical model begins to describe the random error in the data rather than the relationships between variables.,"The Softmax regression is a form of logistic regression that normalizes an input value, transforms them into values between 0 and 1.",0
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,"Overfitting is a term used in statistics that refers to a modeling error that occurs when a function corresponds too closely to a particular set of data. As a result, overfitting may fail to fit additional data, and this may affect the accuracy of predicting future observations.",1
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,"a leaky ReLU allows a small, non-zero, constant gradient Î± (Normally, Î±=0.01).",0
What is the use of leaky ReLU function?,"Overfitting is a term used in statistics that refers to a modeling error that occurs when a function corresponds too closely to a particular set of data. As a result, overfitting may fail to fit additional data, and this may affect the accuracy of predicting future observations.",the Leaky ReLU which attempts to resolve issues with traditional ReLU that are related to dying neural networks by allowing small values.,0
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,"Overfitting refers to a model that models the training data too well, where a statistical model begins to describe the random error.",1
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,"When each sample in the dataset is a signal it can be represneted in the Fourier domain, and making convolution easier.",0
What is the function of the Fourier Transform in Deep Learning?,"Overfitting refers to a model that models the training data too well, where a statistical model begins to describe the random error.","data can be considered a signal, and making convolution easier.",0
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,"Overfitting is a term used in statistics that refers to a modeling error, rather than the relationships between variables.",1
"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,It is a function that measures the performance of a Machine Learning model for given data. Cost Function quantifies the error between predicted values and expected values and presents it in the form of a single real number.,0
